Date;Value;Label
2024-05-04 23:00:00;12.452385481585186;total
2024-05-05 00:00:00;10.311368403172013;total
2024-05-05 01:00:00;8.256721571797629;total
2024-05-05 02:00:00;7.471976542321741;total
2024-05-05 03:00:00;6.975745391776972;total
2024-05-05 04:00:00;6.983349321970461;total
2024-05-05 05:00:00;8.363825074900202;total
2024-05-05 06:00:00;10.259282182769484;total
2024-05-05 07:00:00;12.512394784627656;total
2024-05-05 08:00:00;14.910145351384921;total
2024-05-05 09:00:00;16.351758038175877;total
2024-05-05 10:00:00;17.118342570401687;total
2024-05-05 11:00:00;17.514701647777034;total
2024-05-05 12:00:00;17.389161878445933;total
2024-05-05 13:00:00;17.16928669385441;total
2024-05-05 14:00:00;17.29318207312747;total
2024-05-05 15:00:00;17.37976743382486;total
2024-05-05 16:00:00;17.66972389803639;total
2024-05-05 17:00:00;18.12238330474153;total
2024-05-05 18:00:00;18.481814769130935;total
2024-05-05 19:00:00;18.761310610448895;total
2024-05-05 20:00:00;18.865449285514575;total
2024-05-05 21:00:00;18.046353801194776;total
2024-05-05 22:00:00;15.50652907794128;total
2024-05-05 23:00:00;12.009684340655864;total
2024-05-06 00:00:00;9.367072381262252;total
2024-05-06 01:00:00;7.472127227817444;total
2024-05-06 02:00:00;6.877741543756248;total
2024-05-06 03:00:00;6.76025870381885;total
2024-05-06 04:00:00;7.22242897837316;total
2024-05-06 05:00:00;8.758156982517843;total
2024-05-06 06:00:00;11.449582857734258;total
2024-05-06 07:00:00;14.119312064577125;total
2024-05-06 08:00:00;16.23002322841336;total
2024-05-06 09:00:00;16.77954979720411;total
2024-05-06 10:00:00;17.565767089613402;total
2024-05-06 11:00:00;17.532101631023806;total
2024-05-06 12:00:00;17.97288927797717;total
2024-05-06 13:00:00;18.043460516726626;total
2024-05-06 14:00:00;18.416949689362088;total
2024-05-06 15:00:00;18.517363454636072;total
2024-05-06 16:00:00;18.828025335454;total
2024-05-06 17:00:00;19.008028882201387;total
2024-05-06 18:00:00;19.52513028356895;total
2024-05-06 19:00:00;20.195318607462625;total
2024-05-06 20:00:00;20.753757002103008;total
2024-05-06 21:00:00;19.865211248559113;total
2024-05-06 22:00:00;16.847879970756143;total
2024-05-06 23:00:00;12.748976126942631;total
2024-05-07 00:00:00;9.690027414238953;total
2024-05-07 01:00:00;7.850626951404224;total
2024-05-07 02:00:00;7.3418152217219905;total
2024-05-07 03:00:00;7.3206167394601644;total
2024-05-07 04:00:00;7.773759503806639;total
2024-05-07 05:00:00;9.218483760049969;total
2024-05-07 06:00:00;11.644686183628231;total
2024-05-07 07:00:00;14.228002490856664;total
2024-05-07 08:00:00;16.070589380986377;total
2024-05-07 09:00:00;17.166275983290095;total
2024-05-07 10:00:00;17.587676300352193;total
2024-05-07 11:00:00;17.720833248247565;total
2024-05-07 12:00:00;18.26755180950968;total
2024-05-07 13:00:00;18.543845680211156;total
2024-05-07 14:00:00;18.903159550551514;total
2024-05-07 15:00:00;18.963527489548003;total
2024-05-07 16:00:00;19.676090795166274;total
2024-05-07 17:00:00;20.185916693162675;total
2024-05-07 18:00:00;20.501012768970085;total
2024-05-07 19:00:00;20.821199509704947;total
2024-05-07 20:00:00;21.027820922415025;total
2024-05-07 21:00:00;19.645496104052967;total
2024-05-07 22:00:00;16.963209977024256;total
2024-05-07 23:00:00;12.981329962606411;total
2024-05-08 00:00:00;10.393446921561354;total
2024-05-08 01:00:00;8.01535281344729;total
2024-05-08 02:00:00;7.4768451345385065;total
2024-05-08 03:00:00;7.946301113260794;total
2024-05-08 04:00:00;8.06303043544074;total
2024-05-08 05:00:00;9.716554134289586;total
2024-05-08 06:00:00;12.06685699211028;total
2024-05-08 07:00:00;15.134944674626952;total
2024-05-08 08:00:00;16.808936713600414;total
2024-05-08 09:00:00;17.775278775853206;total
2024-05-08 10:00:00;18.498945693921563;total
2024-05-08 11:00:00;18.495723550448997;total
2024-05-08 12:00:00;19.10850749028588;total
2024-05-08 13:00:00;19.100304260212614;total
2024-05-08 14:00:00;19.16572676213842;total
2024-05-08 15:00:00;19.14033466417747;total
2024-05-08 16:00:00;19.28258317495669;total
2024-05-08 17:00:00;19.406793098637607;total
2024-05-08 18:00:00;19.662082934085525;total
2024-05-08 19:00:00;20.02747745016691;total
2024-05-08 20:00:00;20.30034402405331;total
2024-05-08 21:00:00;19.83780317935781;total
2024-05-08 22:00:00;17.286522441372192;total
2024-05-08 23:00:00;13.642896559245038;total
2024-05-09 00:00:00;10.991747834452802;total
2024-05-09 01:00:00;8.879066614077992;total
2024-05-09 02:00:00;7.815217968694152;total
